Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Oil field brine,Qianjiang Formation 100,"Jianghan Basin, China",0.0487399999999999,0.1323,105.5864,4.32004,1.64972,0.6582,176.32840000000002,2.714402954452196,289.99763455648
Oil field brine,Qianjiang Formation 101,"Jianghan Basin, China",0.00998,0.1024,46.1028,0.2895,0.74154,5.86938,76.62,10.260521042084168,130.54173376800003
Oil field brine,Qianjiang Formation 102,"Jianghan Basin, China",0.045,0.45,120.43,5.926,4.09,0.79,198.83,10.0,328.5
Oil field brine,Qianjiang Formation 103,"Jianghan Basin, China",0.0621,0.0789,87.2356,2.76748,0.59242,7.23732,143.49559999999997,1.2705314009661834,242.43217173616
Oil field brine,Qianjiang Formation 104,"Jianghan Basin, China",0.05332,0.04272,104.33599999999998,1.77704,0.32244,3.71766,171.10119999999998,0.8012003000750187,282.46589789992
Oil field brine,Qianjiang Formation 105,"Jianghan Basin, China",0.0227999999999999,0.03618,113.3504,2.55678,0.28024,6.69252,182.586,1.5868421052631578,306.52924537528
Oil field brine,Qianjiang Formation 106,"Jianghan Basin, China",0.0301999999999999,0.03738,87.3532,1.33768,0.18782,8.7339,140.5852,1.2377483443708612,239.21758891584005
Oil field brine,Qianjiang Formation 107,"Jianghan Basin, China",0.0438599999999999,0.05116,82.01480000000001,0.75464,0.22068,8.42886,131.8868,1.166438668490652,224.1243908188
Oil field brine,Qianjiang Formation 108,"Jianghan Basin, China",0.03486,0.0508,100.8888,0.6712400000000001,0.18806,5.4372,162.0472,1.457257601835915,270.17127062168004
Oil field brine,Qianjiang Formation 109,"Jianghan Basin, China",0.04832,0.0014399999999999,86.9904,0.77982,0.013,5.84646,139.4888,0.0298013245033112,235.9753642532
Oil field brine,Qianjiang Formation 110,"Jianghan Basin, China",0.03924,0.05836,105.43,0.85012,0.22692,5.401199999999999,168.842,1.4872579001019366,281.70476576952
Oil field brine,Qianjiang Formation 111,"Jianghan Basin, China",0.03686,0.04554,105.6052,0.83404,0.17846,5.13768,168.45080000000002,1.2354856212696692,281.0723721304
Oil field brine,Qianjiang Formation 112,"Jianghan Basin, China",0.03594,0.20998,87.5352,0.46136,0.56338,7.60332,139.6032,5.842515303283251,236.63919586808
Oil field brine,Qianjiang Formation 113,"Jianghan Basin, China",0.02352,0.05176,64.05879999999999,1.5342599999999995,0.4597999999999999,7.108560000000001,102.1512,2.200680272108844,175.8998708188
Oil field brine,Qianjiang Formation 114,"Jianghan Basin, China",0.03292,0.0613999999999999,91.5124,0.6317200000000001,0.1998,5.847720000000001,145.8428,1.8651275820170103,244.95102688400004
Oil field brine,Qianjiang Formation 115,"Jianghan Basin, China",0.0667,0.38,121.84,2.769,2.61,1.9,194.16,5.697151424287855,323.5
Oil field brine,Qianjiang Formation 116,"Jianghan Basin, China",0.03418,0.12246,96.9276,0.6999200000000001,0.42728,6.70368,154.39520000000002,3.582796957284962,260.04353829416
Oil field brine,Qianjiang Formation 117,"Jianghan Basin, China",0.0375799999999999,0.03644,108.852,0.8036400000000001,0.1587599999999999,7.38936,173.3076,0.969664715274082,291.55714163760007
